Student_ID,Name,Gender,Age,Branch,Semester,Math,Physics,Chemistry,English,Attendance,City,Total,Average,Percentage,Grade,Result
1002,Shivani Dhar,Female,23,EC,2,95,36,38,56,50,Indore,225,56.25,56.25,D,Pass
1008,Nikita Shan,Male,21,CSE,7,46,49,40,40,60,Mumbai,175,43.75,43.75,F,Pass
1010,Brinda Bhagat,Female,19,ME,4,78,68,57,30,58,Nagpur,233,58.25,58.25,D,Pass
1012,Amara Butala,Female,20,IT,6,33,80,75,80,68,Patna,268,67.0,67.0,C,Pass
1013,Yatan Yohannan,Male,19,ME,1,57,39,48,79,68,Nagpur,223,55.75,55.75,D,Pass
1014,Simon Venkataraman,Female,21,IT,4,90,37,76,32,56,Delhi,235,58.75,58.75,D,Pass
1017,Agastya Vyas,Male,18,EC,4,32,64,98,83,71,Nagpur,277,69.25,69.25,C,Pass
1018,Onveer Kamdar,Female,22,IT,6,79,30,34,30,65,Delhi,173,43.25,43.25,F,Pass
1019,Diya Murty,Male,18,EC,7,43,94,91,70,65,Jaipur,298,74.5,74.5,B,Pass
1021,Pranav Dixit,Female,21,IT,1,36,30,96,97,71,Hyderabad,259,64.75,64.75,C,Pass
1022,Ishita Sibal,Male,22,CSE,2,87,56,30,76,64,Nagpur,249,62.25,62.25000000000001,C,Pass
1024,Mason Kale,Female,23,IT,3,67,69,69,30,59,Pune,235,58.75,58.75,D,Pass
1025,Daniel Loke,Male,18,ME,7,71,46,43,75,73,Lucknow,235,58.75,58.75,D,Pass
1026,Anirudh Raju,Female,18,EC,7,44,86,32,99,71,Jaipur,261,65.25,65.25,C,Pass
1029,Yadavi Chandra,Male,23,EC,1,82,44,65,50,61,Hyderabad,241,60.25,60.25,C,Pass
1030,Eshana Acharya,Female,18,CSE,8,57,58,40,63,57,Hyderabad,218,54.5,54.50000000000001,D,Pass
1033,Panini Shukla,Female,20,EC,1,60,51,36,42,61,Pune,189,47.25,47.25,F,Pass
1034,Nachiket Bora,Male,20,EC,6,57,64,60,36,53,Indore,217,54.25,54.25,D,Pass
1039,Chakrika Bir,Female,21,IT,3,53,94,40,99,63,Mumbai,286,71.5,71.5,B,Pass
1040,Prisha Sinha,Female,19,ME,5,82,50,86,42,68,Bhopal,260,65.0,65.0,C,Pass
1041,Jagat Contractor,Female,22,IT,6,79,58,52,84,58,Pune,273,68.25,68.25,C,Pass
1042,Nisha Bora,Female,19,EC,4,92,33,68,52,61,Hyderabad,245,61.25,61.25000000000001,C,Pass
1043,Vritti Virk,Male,21,ME,6,76,54,82,51,56,Lucknow,263,65.75,65.75,C,Pass
1045,Ikbal Das,Male,22,CSE,5,38,32,44,32,53,Patna,146,36.5,36.5,F,Fail
1046,Pahal Dutt,Female,22,EC,7,60,84,98,62,74,Delhi,304,76.0,76.0,B,Pass
1048,Dayamai Gulati,Female,22,CSE,1,37,93,46,77,52,Mumbai,253,63.25,63.24999999999999,C,Pass
1051,Manan Shan,Female,20,ME,4,85,56,32,70,66,Pune,243,60.75,60.75000000000001,C,Pass
1053,Mahika Pant,Female,18,CSE,3,50,89,93,90,63,Delhi,322,80.5,80.5,A,Pass
1054,Dayamai Sethi,Female,24,IT,5,42,79,38,67,59,Lucknow,226,56.5,56.49999999999999,D,Pass
1055,Zinal Gara,Male,24,ME,8,67,38,49,44,55,Bhopal,198,49.5,49.5,F,Pass
1057,Rehaan Hayer,Female,19,IT,3,93,89,71,87,69,Indore,340,85.0,85.0,A,Pass
1062,Ishani Sastry,Male,23,ME,6,64,68,79,50,62,Nagpur,261,65.25,65.25,C,Pass
1063,Watika Som,Male,21,IT,2,46,72,50,43,65,Bhopal,211,52.75,52.75,D,Pass
1064,Jeremiah Dube,Male,18,EC,7,83,67,47,41,51,Jaipur,238,59.5,59.5,D,Pass
1065,Avni Bumb,Male,19,EC,4,100,38,61,50,54,Hyderabad,249,62.25,62.25000000000001,C,Pass
1067,Udyati Swaminathan,Female,22,EC,3,62,64,51,60,52,Patna,237,59.25,59.25,D,Pass
1068,Amrita Pandya,Female,24,ME,4,38,67,43,98,63,Hyderabad,246,61.5,61.5,C,Pass
1070,Rohan Gade,Female,22,EC,7,60,75,42,69,66,Indore,246,61.5,61.5,C,Pass
1071,Aahana Dayal,Female,19,CSE,7,69,47,72,71,58,Patna,259,64.75,64.75,C,Pass
1080,Oscar Chacko,Female,18,IT,7,40,78,44,74,72,Mumbai,236,59.0,59.0,D,Pass
1081,Lipika Banerjee,Female,22,EC,3,67,47,52,65,58,Mumbai,231,57.75,57.75,D,Pass
1087,Nathaniel Nadig,Male,18,CSE,2,73,65,35,39,52,Indore,212,53.0,53.0,D,Pass
1090,Jyoti Ranganathan,Male,18,EC,4,84,62,56,88,70,Jaipur,290,72.5,72.5,B,Pass
1091,Osha Virk,Male,19,EC,1,36,50,32,82,65,Delhi,200,50.0,50.0,D,Pass
1093,Neelima Mahal,Female,20,IT,3,71,30,53,91,74,Lucknow,245,61.25,61.25000000000001,C,Pass
1094,Kalpit Barad,Female,24,IT,8,79,70,59,33,53,Patna,241,60.25,60.25,C,Pass
1095,Dhriti Lata,Female,24,ME,3,47,40,77,77,53,Delhi,241,60.25,60.25,C,Pass
1096,Sai Saxena,Male,18,EC,7,53,97,98,100,57,Patna,348,87.0,87.0,A,Pass
1097,Ijaya Narain,Female,23,CSE,8,61,58,67,49,61,Lucknow,235,58.75,58.75,D,Pass
1100,Chakrika Arya,Female,23,EC,8,91,80,56,88,66,Hyderabad,315,78.75,78.75,B,Pass
1102,Upkaar Tara,Female,21,EC,4,54,39,50,78,73,Jaipur,221,55.25,55.25,D,Pass
1104,Radhika Roy,Male,21,IT,7,38,57,57,64,74,Mumbai,216,54.0,54.0,D,Pass
1109,Maanas Sarin,Male,19,EC,2,84,57,38,75,62,Jaipur,254,63.5,63.5,C,Pass
1118,Rajeshri Sinha,Female,21,ME,8,62,95,69,55,54,Mumbai,281,70.25,70.25,B,Pass
1119,Wahab Thaman,Female,20,EC,7,51,91,48,43,52,Pune,233,58.25,58.25,D,Pass
1121,Rachit Gade,Male,19,IT,5,47,71,46,44,51,Mumbai,208,52.0,52.0,D,Pass
1122,Tamanna Nair,Female,24,IT,2,53,70,83,60,70,Delhi,266,66.5,66.5,C,Pass
1123,Neel Majumdar,Male,18,IT,3,60,81,32,74,59,Delhi,247,61.75,61.75000000000001,C,Pass
1124,Aachal Rajan,Male,24,EC,7,52,61,51,49,57,Pune,213,53.25,53.25,D,Pass
1125,Wyatt Shere,Male,22,EC,5,90,57,73,53,63,Nagpur,273,68.25,68.25,C,Pass
1127,Urvashi Bhattacharyya,Male,18,EC,8,39,74,72,97,50,Indore,282,70.5,70.5,B,Pass
1130,Krishna Lad,Female,22,IT,1,52,92,98,65,71,Delhi,307,76.75,76.75,B,Pass
1131,Mason Sangha,Male,19,EC,3,40,99,73,74,62,Jaipur,286,71.5,71.5,B,Pass
1136,Sanaya Kohli,Female,23,EC,1,35,84,45,88,53,Nagpur,252,63.0,63.0,C,Pass
1139,Chatura Barman,Male,20,IT,1,53,57,51,62,60,Hyderabad,223,55.75,55.75,D,Pass
1140,Dev Lalla,Male,19,ME,2,44,92,39,35,55,Indore,210,52.5,52.5,D,Pass
1141,Abhiram Nagarajan,Male,21,CSE,1,67,97,44,30,63,Delhi,238,59.5,59.5,D,Pass
1143,Fariq Divan,Male,22,IT,8,31,44,43,40,57,Bhopal,158,39.5,39.5,F,Fail
1144,Yahvi Prabhu,Male,21,CSE,1,70,74,98,82,66,Jaipur,324,81.0,81.0,A,Pass
1145,Priya Dara,Female,24,EC,4,39,58,56,71,55,Bhopal,224,56.0,56.00000000000001,D,Pass
1146,Victor Rajan,Female,20,EC,7,71,100,48,55,69,Patna,274,68.5,68.5,C,Pass
1147,Niharika Sethi,Female,19,IT,6,42,64,98,82,74,Nagpur,286,71.5,71.5,B,Pass
1150,Urishilla Sen,Female,19,EC,5,57,68,67,92,64,Delhi,284,71.0,71.0,B,Pass
1151,Naksh Bandi,Female,20,IT,7,78,71,80,41,50,Indore,270,67.5,67.5,C,Pass
1154,Janani Chana,Male,18,CSE,3,39,30,72,31,59,Pune,172,43.0,43.0,F,Pass
1155,Priya Bedi,Female,23,EC,7,59,39,64,73,50,Indore,235,58.75,58.75,D,Pass
1158,Abhiram Nori,Female,21,CSE,6,53,80,73,50,65,Indore,256,64.0,64.0,C,Pass
1159,Liam Chaudhry,Female,22,IT,1,40,72,96,78,55,Lucknow,286,71.5,71.5,B,Pass
1163,Ekbal Soni,Female,21,CSE,7,82,93,55,30,62,Bhopal,260,65.0,65.0,C,Pass
1166,Leela Murty,Female,23,ME,4,79,61,83,38,74,Lucknow,261,65.25,65.25,C,Pass
1167,Utkarsh Goswami,Male,22,EC,2,74,34,41,30,70,Pune,179,44.75,44.75,F,Pass
1168,Dev Sem,Male,20,EC,1,78,74,42,62,55,Mumbai,256,64.0,64.0,C,Pass
1169,Harinakshi Kala,Male,19,CSE,4,92,88,71,95,51,Indore,346,86.5,86.5,A,Pass
1171,Yauvani Jaggi,Female,22,CSE,3,58,67,35,31,71,Mumbai,191,47.75,47.75,F,Pass
1173,Januja Agarwal,Female,20,EC,3,55,53,66,89,52,Nagpur,263,65.75,65.75,C,Pass
1174,Watika Wagle,Male,21,EC,5,49,47,81,64,62,Delhi,241,60.25,60.25,C,Pass
1175,Gaurav Nadkarni,Male,23,CSE,7,43,30,89,98,65,Lucknow,260,65.0,65.0,C,Pass
1176,Jagat Kakar,Male,23,EC,8,69,74,51,62,71,Nagpur,256,64.0,64.0,C,Pass
1178,Raagini Sethi,Male,18,ME,4,68,31,52,97,55,Delhi,248,62.0,62.0,C,Pass
1184,Chakradhar Ramesh,Female,23,ME,8,50,71,88,84,74,Hyderabad,293,73.25,73.25,B,Pass
