Student_ID,Name,Gender,Age,Branch,Semester,Math,Physics,Chemistry,English,Attendance,City,Total,Average,Percentage,Grade,Result
1106,Manan Sankar,Male,21,EC,4,85,95,100,96,85,Pune,376,94.0,94.0,A+,Pass
1023,Naveen Buch,Female,19,EC,8,99,92,100,69,91,Delhi,360,90.0,90.0,A+,Pass
1096,Sai Saxena,Male,18,EC,7,53,97,98,100,57,Patna,348,87.0,87.0,A,Pass
1108,Gagan Gupta,Female,20,IT,3,74,96,89,87,85,Mumbai,346,86.5,86.5,A,Pass
1169,Harinakshi Kala,Male,19,CSE,4,92,88,71,95,51,Indore,346,86.5,86.5,A,Pass
1028,Panini Merchant,Female,22,CSE,4,56,100,95,92,90,Lucknow,343,85.75,85.75,A,Pass
1161,Qasim Lall,Male,21,IT,5,89,100,54,100,88,Nagpur,343,85.75,85.75,A,Pass
1057,Rehaan Hayer,Female,19,IT,3,93,89,71,87,69,Indore,340,85.0,85.0,A,Pass
1073,Jonathan Ahuja,Male,18,EC,6,81,87,67,95,84,Nagpur,330,82.5,82.5,A,Pass
1101,Aishani Shan,Male,19,CSE,6,85,79,69,97,90,Nagpur,330,82.5,82.5,A,Pass
